gas_param,client_name,runtime_ms,conf_int_low,conf_int_high,selected_test,selected_opcode,selected_model_coef_name,glue_adjustment,param_bn128,param_mem_size,param_mod_bits,new_gas_decimal,new_gas_rounded
OPCODE_DIV,besu,1.7435842856650933e-05,1.6359142862031355e-05,1.8545467425764147e-05,test_arithmetic,DIV,target_coef,0.0,,,,1.7435842856650934,2
OPCODE_SDIV,besu,1.9063958623118586e-05,1.7760153169575828e-05,2.0568509481748484e-05,test_arithmetic,SDIV,target_coef,0.0,,,,1.9063958623118586,2
OPCODE_MOD,besu,2.0170885451629734e-05,1.886617649221096e-05,2.1422775815374812e-05,test_mod,MOD,target_coef,0.0,,,127,2.017088545162973,3
OPCODE_SMOD,besu,2.076662651971037e-05,1.935637786222514e-05,2.21888607619863e-05,test_mod,SMOD,target_coef,0.0,,,127,2.076662651971037,3
OPCODE_ADDMOD,geth,2.8379680967402273e-05,1.3893083926775993e-05,3.7078679752894075e-05,test_mod_arithmetic,ADDMOD,target_coef,0.0,,,191,2.8379680967402274,3
OPCODE_MULMOD,geth,4.072258407266964e-05,1.9579461742271036e-05,5.363337864350742e-05,test_mod_arithmetic,MULMOD,target_coef,0.0,,,191,4.072258407266964,5
OPCODE_KECCAK256_BASE,geth,0.00013235841460906042,9.828124957101502e-05,0.00016215466288704419,test_keccak_diff_mem_msg_sizes,KECCAK256,target_coef,0.0,,0,,13.235841460906041,14
OPCODE_KECCAK256_PER_WORD,nethermind,2.2912397169247147e-05,2.113792008085872e-05,2.466907348134519e-05,test_keccak_diff_mem_msg_sizes,KECCAK256,msg_words,0.0,,256,,2.2912397169247147,3
PRECOMPILE_ECRECOVER,geth,0.012348376315936306,0.007084420300757923,0.015937069230085626,test_ecrecover,ECRECOVER,target_coef,0.0,,,,1234.8376315936307,1235
PRECOMPILE_BLAKE2F_BASE,besu,0.0004236638039817065,0.0004096782449964848,0.00043825029812172224,test_blake2f_uncachable,BLAKE2F,target_coef,0.0,,,,42.36638039817065,43
PRECOMPILE_BLAKE2F_PER_ROUND,geth,3.2202929365813315e-06,1.6940810789396376e-06,4.782370831825718e-06,test_blake2f_benchmark,BLAKE2F,num_rounds,0.0,,,,0.32202929365813315,1
PRECOMPILE_BLS_G1ADD,besu,0.0017594131332511513,0.0016124290825559318,0.0018868693579251672,test_bls12_381,BLS12_G1ADD,target_coef,0.0,,,,175.94131332511512,176
PRECOMPILE_BLS_G2ADD,besu,0.002166798064785649,0.002020712164093927,0.002320826470950592,test_bls12_381,BLS12_G2ADD,target_coef,0.0,,,,216.6798064785649,217
PRECOMPILE_ECADD,geth,0.0010027790660014648,0.0005281393177998223,0.0013023047961939174,test_alt_bn128_uncachable,ECADD,target_coef,0.0,,,,100.27790660014648,101
PRECOMPILE_ECPAIRING_BASE,reth,0.08224435986860949,0.070825582644501,0.09448154815250641,test_ec_pairing,ECPAIRING,target_coef,0.0,,,,8224.43598686095,8225
PRECOMPILE_ECPAIRING_PER_POINT,nethermind,0.11542558531901034,0.1119194669355254,0.11869541155396501,test_ec_pairing,ECPAIRING,num_pairs,0.0,,,,11542.558531901033,11543
PRECOMPILE_POINT_EVALUATION,geth,0.3389480854107751,0.17512777862807094,0.4378350540278973,test_point_evaluation,POINT_EVALUATION,target_coef,0.0,,,,33894.80854107751,33895
PRECOMPILE_P256VERIFY,geth,0.019794328127667165,0.010043298471716424,0.02593140789629636,test_p256verify_uncachable,P256VERIFY,target_coef,0.0,,,,1979.4328127667166,1980
